Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Charlotte,Björk,Villastigen 781,Falun,63466,Sverige,SE,19620902-8497,+46,08-340 43 06,1962-09-02,True
Rune,Rønning,Aasroa 9,Sigurdfjell,2513,Norge,NO,19831015-4084,+47,437 61 509,1983-10-15,True
Barbro,Sundin,Industrigatan 5,Varberg,34465,Sverige,SE,19491213-9307,+46,08-917 60 33,1949-12-13,True
Britta,Lindgren,Asptorget 692,Varberg,95743,Sverige,SE,19730128-5304,+46,+46 (0)8 199 088 66,1973-01-28,True
David,Dougherty,Kimberly Trail 732,Kellerport,08907,Danmark,DK,19711229-1597,+45,765-243-9975,1971-12-29,True
Christy,Santana,Ramirez Tunnel 511,Lake Kyle,42229,Danmark,DK,19521218-5680,+45,6523030656,1952-12-18,True
Alan,Clark,Miles Route 4554,West Melissa,07536,Danmark,DK,19730228-2979,+45,001-612-399-0889x51117,1973-02-28,True
Lisbeth,Haglund,Industrivägen 2,Karlskrona,31944,Sverige,SE,19780104-6378,+46,+46 (0)635 071 69,1978-01-04,False
Alf,Karlsson,Järnvägsstigen 8,Luleå,94790,Sverige,SE,19671127-5599,+46,+46 (0)34 53 31 36,1967-11-27,True
Anna,Bergström,Skolstigen 7,Lidingö,27704,Sverige,SE,19890802-4872,+46,+46 (0)57 26 43 22,1989-08-02,True
Terje,Ahmed,Pedersenmoen 671,Bentehavn,1914,Norge,NO,19930430-9595,+47,19 57 00 62,1993-04-30,True
Göran,Lindström,Industristigen 824,Stockholm,96259,Sverige,SE,19690103-8094,+46,090-85 76 98,1969-01-03,True
Gunn,Knutsen,Strømroa 8A,Hauge,0590,Norge,NO,19660418-4087,+47,56 29 80 34,1966-04-18,True
Maria,Watkins,Silva Falls 962,Lopezville,31536,Danmark,DK,19851205-6128,+45,981-219-0746,1985-12-05,True
Lars,Andersson,Furugatan 2,Sundsvall,81591,Sverige,SE,19540928-1376,+46,099-03 65 75,1954-09-28,True
Sara,Olsson,Grangatan 06,Trelleborg,59352,Sverige,SE,19690228-3712,+46,+46 (0)725 759 94,1969-02-28,True
Evy,Hansson,Ängsgatan 031,Borås,17052,Sverige,SE,19721105-9833,+46,08-268 06 52,1972-11-05,True
John,Amundsen,Viktunet 3,Myhre,0941,Norge,NO,19970308-8627,+47,940 57 343,1997-03-08,True
Harald,Jakobsson,Strandvägen 67,Gävle,98584,Sverige,SE,19510606-1728,+46,08-253 451 09,1951-06-06,True
Lisa,Mcdonald,Ramirez Island 84496,West Warren,03480,Danmark,DK,19500430-2293,+45,001-209-915-5897,1950-04-30,True
Ivar,Svensson,Ringvägen 02,Umeå,43202,Sverige,SE,19920814-1000,+46,0265-583 69,1992-08-14,True
Josef,Henriksson,Järnvägsstigen 9,Sundsvall,79221,Sverige,SE,19910131-4821,+46,0312-83 05 82,1991-01-31,True
Anders,Engström,Järnvägsstigen 09,Sundsvall,48119,Sverige,SE,19810402-2100,+46,+46 (0)8 806 604 59,1981-04-02,True
Monica,Jørgensen,Gulbrandsenengen 2,Frodestad,1209,Norge,NO,19791023-2428,+47,63762873,1979-10-23,True
Leif,Larsson,Aspgränd 74,Södertälje,17883,Sverige,SE,19840611-0831,+46,+46 (0)13 96 89 15,1984-06-11,True
Camilla,Jørgensen,Holmstubben 669,Pålvik,7846,Norge,NO,19450629-4069,+47,97567137,1945-06-29,True
Nils,Nyström,Stationstorget 178,Varberg,73613,Sverige,SE,19850303-9693,+46,08-30 36 24,1985-03-03,True
Karl,Henriksen,Haugenlunden 6,Ritahavn,3379,Norge,NO,19910929-3537,+47,77480413,1991-09-29,True
Ivar,Nygård,Jacobsensvingen 34,Ellingsen,6926,Norge,NO,19980128-3432,+47,27476111,1998-01-28,True
Josefine,Holmberg,Storgatan 2,Halmstad,77508,Sverige,SE,19540101-3116,+46,+46 (0)489 377 15,1954-01-01,True
Teresia,Dahl,Parktorget 4,Linköping,74803,Sverige,SE,19630216-0671,+46,090-41 07 96,1963-02-16,True
Lisa,Hendricks,Ross Loop 3996,Lake Alejandroport,37199,Danmark,DK,19850706-9109,+45,(309)302-3026,1985-07-06,True
Marjukka,Kujala,Tuohikoivuntie 254,Iitti,70632,Finland,FI,19651230-632Y,+358,069 208 3752,1965-12-30,True
Jeanette,Magnusson,Industrigatan 605,Falun,48310,Sverige,SE,19710415-4480,+46,08-61 13 77,1971-04-15,True
Sara,Gustafsson,Trädgårdsvägen 75,Borlänge,73962,Sverige,SE,19830720-3719,+46,0208-308 62,1983-07-20,True
Hugo,Karlsson,Backgränd 69,Uppsala,37622,Sverige,SE,19480801-8419,+46,0967-946 91,1948-08-01,True
Thomas,Elliott,Davis Port 91524,Franciscochester,21529,Danmark,DK,19560610-2479,+45,+1-965-791-1199x314,1956-06-10,True
Samantha,Campbell,Holland Hill 8606,New Daniellechester,90977,Danmark,DK,19710120-9574,+45,(608)438-2616x1039,1971-01-20,True
Anna,Jansson,Grangatan 66,Helsingborg,60963,Sverige,SE,19721113-3386,+46,+46 (0)12 08 90 02,1972-11-13,True
Jimmy,Jönsson,Strandtorget 07,Stockholm,13454,Sverige,SE,19751211-8595,+46,+46 (0)242 023 81,1975-12-11,True
Sarah,Collins,Beck Manor 6399,Barnesborough,61956,Danmark,DK,19690523-0920,+45,+1-449-655-5349x07909,1969-05-23,True
Jonathan,Stevens,Justin Square 302,Lake Tannerport,80266,Danmark,DK,19910121-3444,+45,001-769-778-3245x34729,1991-01-21,True
Annika,Eriksson,Aspvägen 456,Lidköping,75989,Sverige,SE,19680425-8676,+46,0890-01 71 99,1968-04-25,True
Amy,Burns,Michelle View 6682,Myershaven,39864,Danmark,DK,19631224-3570,+45,668.669.1640x1953,1963-12-24,True
Mona,Nilsson,Storgatan 7,Halmstad,55566,Sverige,SE,19990904-0824,+46,+46 (0)739 352 03,1999-09-04,True
Matti,Karvonen,Laakavuorenkatu 172,Orivesi,71136,Finland,FI,19911002-394F,+358,014 976 6468,1991-10-02,True
Gun,Persson,Storvägen 8,Borlänge,32419,Sverige,SE,19720806-7647,+46,019-04 25 19,1972-08-06,True
Claes,Karlsson,Genvägen 54,Karlstad,22866,Sverige,SE,19660426-6937,+46,0040-816 42,1966-04-26,True
Tage,Andersson,Stationsvägen 61,Skövde,37109,Sverige,SE,19450814-8962,+46,+46 (0)8 932 742 26,1945-08-14,True
Daniel,Hagen,Dahlspranget 2,Sandvik,7578,Norge,NO,19680805-5595,+47,95368450,1968-08-05,True
Nicholas,Garcia,Cathy Circles 79407,North Shawnhaven,38042,Danmark,DK,19971013-9850,+45,001-488-851-2081x42621,1997-10-13,True
Helge,Myhre,Paulsengjerdet 05B,Aas,4898,Norge,NO,19810324-1683,+47,40 93 74 67,1981-03-24,True
Maria,Jönsson,Aspvägen 1,Kalmar,44035,Sverige,SE,20000828-7979,+46,0713-32 65 14,2000-08-28,True
John,Jakobsson,Åkergränd 802,Skellefteå,45608,Sverige,SE,19850305-9884,+46,08-715 757 81,1985-03-05,True
Johanna,Autio,Fahlanderin puistokatu 956,Kerava,02148,Finland,FI,19640619-413B,+358,+358256945433,1964-06-19,True
Maria,Salo,Gotlannintie 681,Luoto,58462,Finland,FI,19920609-0882,+358,0157888287,1992-06-09,True
Sverre,Andresen,Gundersenskrenten 26,Randivåg,1840,Norge,NO,19980306-0941,+47,60 18 43 76,1998-03-06,True
Julius,Hänninen,Urputie 779,Salla,04129,Finland,FI,19710727-361N,+358,+358635859344,1971-07-27,True
Johanna,Börjesson,Gengränd 6,Mölndal,90236,Sverige,SE,19871221-2905,+46,08-495 245 57,1987-12-21,True
Doris,Johansson,Furugatan 8,Mölndal,95930,Sverige,SE,19650310-6108,+46,011-339 72 57,1965-03-10,True
Patrik,Jonsson,Storstigen 8,Piteå,89659,Sverige,SE,20000314-2251,+46,+46 (0)12 22 10 52,2000-03-14,True
Sune,Andersson,Granstigen 4,Lidingö,83838,Sverige,SE,19670316-7205,+46,0403-46 48 36,1967-03-16,True
Ashley,Cox,Phillips Radial 1450,South Steve,24937,Danmark,DK,19891125-2267,+45,001-450-841-1862x9338,1989-11-25,True
Andrea,Kelley,Kristy Passage 35743,North Amyfort,69414,Danmark,DK,19940111-2876,+45,(511)668-0144x11402,1994-01-11,True
Line,Pedersen,Næsshagen 059,Linnfoss,3493,Norge,NO,19451230-8417,+47,74782146,1945-12-30,True
Barbro,Svensson,Kyrkogränd 8,Östersund,92427,Sverige,SE,19440716-5594,+46,08-892 84 82,1944-07-16,True
Åke,Eriksson,Nygatan 7,Växjö,54179,Sverige,SE,19420318-4891,+46,0602-72 01 69,1942-03-18,True
Irene,Petersson,Parkgatan 8,Alingsås,50786,Sverige,SE,19760405-9636,+46,08-187 562 23,1976-04-05,True
Tiffany,Choi,Jessica Park 1193,Port Brandy,58313,Danmark,DK,19711230-1282,+45,+1-510-990-0119x90810,1971-12-30,True
Louise,Karlsson,Bäckvägen 7,Uddevalla,77924,Sverige,SE,19541201-2323,+46,+46 (0)08 13 74 42,1954-12-01,True
Ingrid,Lien,Paulsenfaret 299,Noraberg,2937,Norge,NO,19870714-7501,+47,18 51 53 19,1987-07-14,True
Linn,Melin,Fabrikstorget 80,Gävle,64632,Sverige,SE,19410217-5194,+46,072-78 44 76,1941-02-17,True
Gustav,Johansson,Backtorget 847,Södertälje,74204,Sverige,SE,19440311-7554,+46,+46 (0)33 74 88 65,1944-03-11,True
Turid,Berg,Halvorseneggen 98,Lisemark,7497,Norge,NO,19910307-0449,+47,+4787170332,1991-03-07,True
Jimmy,Söderström,Trädgårdsstigen 6,Lidköping,11435,Sverige,SE,19680429-5539,+46,034-12 26 42,1968-04-29,True
Johannes,Jensen,Ellingsenflata 06,Eriksen,4455,Norge,NO,19530617-0688,+47,91 41 19 23,1953-06-17,True
Elizabeth,Thomas,James Lights 914,South Debbie,56033,Danmark,DK,19710727-6007,+45,916-877-4103x9811,1971-07-27,True
Camilla,Birkeland,Sandviktunet 6,Ahmed,4594,Norge,NO,19810128-8460,+47,45289622,1981-01-28,True
Karolina,Eriksson,Kyrkogatan 69,Södertälje,82815,Sverige,SE,19900605-4490,+46,+46 (0)997 320 40,1990-06-05,True
Cathrine,Evensen,Aasmoen 7,Sivertsen,1808,Norge,NO,19520615-9315,+47,49580598,1952-06-15,True
Sven,Karlsson,Storgatan 5,Stockholm,45950,Sverige,SE,19810716-4894,+46,0784-950 05,1981-07-16,True
Emil,Fredriksen,Jensenfaret 16,Brekke,1199,Norge,NO,19540729-9747,+47,+4796693553,1954-07-29,True
Steinar,Iversen,Bergestykket 3C,Malingrunn,5671,Norge,NO,19741118-5126,47,+47 27 20 48 05,1974-11-18,True
Ann,Abrahamsen,Nguyenplassen 7C,Kirstenhelle,7870,Norge,NO,19521130-5375,+47,58 23 61 08,1952-11-30,True
Håvard,Christensen,Lundplassen 3,Solveighavn,2450,Norge,NO,19740909-3752,+47,47307555,1974-09-09,True
Axel,Fredriksson,Genvägen 53,Kristianstad,48745,Sverige,SE,19580107-8400,+46,009-410 33 68,1958-01-07,True
Markus,Nygård,Johansenåsen 2,Jakobsen,5553,Norge,NO,19450424-1789,+47,94292188,1945-04-24,True
Daniel,Svensson,Furugatan 60,Norrköping,95475,Sverige,SE,20000115-5458,+46,0209-035 11,2000-01-15,True
Ellen,Andersson,Järnvägstorget 057,Kristianstad,90959,Sverige,SE,19610715-8705,+46,08-79 91 98,1961-07-15,True
Erling,Mathisen,Bøeroa 3,Abrahamsen,6266,Norge,NO,19840913-2799,+47,+4703740169,1984-09-13,True
Warren,Wright,Nicholas Island 78997,Lake Karenchester,66639,Danmark,DK,19631110-9226,+45,948-960-6351x41384,1963-11-10,True
Olov,Johansson,Storgränd 2,Västerås,74654,Sverige,SE,19600615-2237,+46,0082-67 21 16,1960-06-15,True
Ingrid,Evensen,Solheimåsen 6,Emilvik,4915,Norge,NO,19731119-2215,+47,97754819,1973-11-19,True
Erik,Jansson,Skogsvägen 151,Varberg,15091,Sverige,SE,19900730-1009,+46,+46 (0)94 16 68 84,1990-07-30,True
Eva,Andersson,Trädgårdsvägen 2,Jönköping,64205,Sverige,SE,19930425-7630,+46,08-698 579 90,1993-04-25,True
Rolf,Josefsson,Strandgatan 4,Kalmar,93089,Sverige,SE,19890122-8514,+46,08-733 259 90,1989-01-22,True
Ida,Persson,Ringtorget 630,Halmstad,76583,Sverige,SE,19701018-6504,+46,08-968 017 03,1970-10-18,True
Josefina,Hedlund,Skogsgatan 392,Örebro,99246,Sverige,SE,19480103-3463,+46,097-22 88 92,1948-01-03,True
Ola,Isaksson,Gengränd 15,Skövde,74254,Sverige,SE,19970501-9210,+46,071-349 08 25,1997-05-01,True
Heidi,Svendsen,Mikkelsenhøgda 31,Olavik,1884,Norge,NO,19951010-8945,+47,70 77 32 71,1995-10-10,True
Bjørg,Madsen,Andresenflata 20C,Sveinfoss,1746,Norge,NO,19630805-4849,+47,+4704803003,1963-08-05,True
Gustaf,Larsson,Stationsgatan 7,Gävle,23288,Sverige,SE,19840207-9093,+46,065-20 28 88,1984-02-07,True
Tobias,Kristensen,Ruudflata 7,Ruthvik,6517,Norge,NO,19670619-5996,+47,81 40 20 96,1967-06-19,True
Craig,Ewing,Timothy Mountains 5607,Ortizfort,47326,Danmark,DK,19690106-0663,+45,419-378-0424,1969-01-06,True
Karl,Svensson,Storvägen 80,Uppsala,20431,Sverige,SE,19571209-3647,+46,061-32 13 80,1957-12-09,True
Elias,Lindberg,Nygränd 962,Kalmar,49706,Sverige,SE,20000131-9276,+46,+46 (0)65 39 30 10,2000-01-31,True
Marie,Lundkvist,Ängsstigen 683,Halmstad,18869,Sverige,SE,19480120-6848,+46,0311-046 94,1948-01-20,True
Karin,Melin,Ekvägen 726,Ängelholm,25610,Sverige,SE,19811010-2814,+46,08-106 77 07,1981-10-10,True
Tonje,Aas,Simonsentjernet 8,Ellenfjell,5239,Norge,NO,19761001-6313,+47,44512685,1976-10-01,True
Cecilie,Jakobsen,Arnesengrenda 89,Martinøy,0263,Norge,NO,19660908-2265,+47,05 34 60 17,1966-09-08,True
John,Hansen,Matthew Plaza 2529,New Briana,12602,Danmark,DK,19631104-0966,+45,733.785.9458,1963-11-04,True
Kerstin,Johansson,Grangatan 392,Östersund,60566,Sverige,SE,19980102-2197,+46,08-405 585 40,1998-01-02,True
Olof,Petersson,Parkvägen 302,Lidköping,99462,Sverige,SE,19740710-3335,+46,+46 (0)78 85 56 97,1974-07-10,True
Kristina,Gustafsson,Aspvägen 80,Luleå,44323,Sverige,SE,19551024-4959,+46,+46 (0)20 69 55 58,1955-10-24,True
Pekka,Jokinen,Jäkälätie 890,Harjavalta,65646,Finland,FI,19741028-623L,+358,(+358) 327989355,1974-10-28,True
Kathy,Moss,Jones Cliffs 13684,Wallaceville,17140,Danmark,DK,19780131-5677,+45,(746)905-1247x28539,1978-01-31,True
Mikael,Lindqvist,Kyrkstigen 8,Linköping,74166,Sverige,SE,19870907-0841,+46,08-259 78 57,1987-09-07,True
Sebastian,Solheim,Sætherfaret 1C,Ellingsen,3246,Norge,NO,19900808-7494,+47,64143302,1990-08-08,True
Jörgen,Svensson,Stationsgatan 775,Östersund,95913,Sverige,SE,19570729-5171,+46,08-389 254 75,1957-07-29,True
Mona,Kristoffersen,Sørensenstien 7A,Ninaodden,8999,Norge,NO,19470713-5031,+47,+4701711138,1947-07-13,True
Randi,Fredriksen,Moenhagen 28,Karlsen,2090,Norge,NO,19950919-4769,+47,914 55 414,1995-09-19,True
Lars,Linder,Industristigen 845,Trollhättan,28990,Sverige,SE,19830325-8066,+46,000-34 71 41,1983-03-25,True
Ann,Pedersen,Kvarnstigen 94,Stockholm,57016,Sverige,SE,19960312-2636,+46,+46 (0)802 659 85,1996-03-12,True
Astrid,Karlsson,Storgatan 64,Nyköping,98510,Sverige,SE,19960606-4449,+46,+46 (0)099 884 82,1996-06-06,True
Lennart,Andersson,Ringvägen 306,Ängelholm,85137,Sverige,SE,19480726-0131,+46,08-430 814 65,1948-07-26,True
Miguel,Stephens,Krystal Corners 983,East Dustin,73193,Danmark,DK,19510707-6334,45,(330)396-4402,1951-07-07,True
Karl,Andersson,Strandgränd 727,Piteå,87171,Sverige,SE,19740512-4436,+46,08-65 38 36,1974-05-12,True
Elisabeth,Pettersson,Kvarnstigen 998,Jönköping,68314,Sverige,SE,19521207-1320,+46,0187-70 41 55,1952-12-07,True
Anni,Lehto,Ilmattarenpolku 5,Rautalampi,01054,Finland,FI,19880923-495X,+358,0874322719,1988-09-23,True
Bo,Karlsson,Skolvägen 041,Örnsköldsvik,57784,Sverige,SE,19870523-4185,+46,08-194 96 15,1987-05-23,True
Viola,Johannesson,Gengatan 3,Karlskrona,51629,Sverige,SE,19490830-6739,+46,08-31 41 09,1949-08-30,True
Leif,Kristiansen,Rasmussenbakken 9,Abrahamsen,8380,Norge,NO,19960207-9013,+47,931 68 719,1996-02-07,True
Malin,Lindberg,Storvägen 68,Lidköping,35370,Sverige,SE,19911210-9751,+46,+46 (0)8 202 840 34,1991-12-10,True
Eric,Camacho,Dalton Skyway 4416,South Madisontown,53527,Danmark,DK,19571211-3786,+45,625-620-8284x1847,1957-12-11,True
Bobby,Kramer,Flores Glen 31845,East Frank,56481,Danmark,DK,19541001-1202,+45,001-992-688-2276x63720,1954-10-01,True
Olav,Olsen,Kristiansenmoen 05,Runefoss,8241,Norge,NO,19730910-0052,47,968 89 374,1973-09-10,True
Juhani,Karlsson,Strandgränd 4,Halmstad,75709,Sverige,SE,19991226-3797,+46,08-64 34 28,1999-12-26,True
Maria,Larsson,Bäckgränd 9,Luleå,87392,Sverige,SE,19991104-6626,+46,08-544 52 42,1999-11-04,True
Julius,Ranta,Uunisepänbulevardi 251,Kirkkonummi,67339,Finland,FI,19820826-798L,+358,031 475 4280,1982-08-26,True
Patrik,Lundgren,Backgränd 475,Norrköping,58118,Sverige,SE,19680220-3773,+46,071-979 20 49,1968-02-20,True
Adriana,Murphy,Peter Light 3229,Willisfurt,14614,Danmark,DK,19971028-6733,+45,542-330-8412,1997-10-28,True
Johannes,Kivimäki,Franzéninbulevardi 9,Orimattila,14491,Finland,FI,19630612-773U,+358,050 400 8812,1963-06-12,True
Patrik,Pålsson,Parkvägen 1,Lidingö,63423,Sverige,SE,19880425-1895,+46,086-73 41 56,1988-04-25,True
Kristina,Salo,Gunillanpolku 07,Tyrnävä,86023,Finland,FI,19990831-8043,+358,+358 76 7363054,1999-08-31,True
Stefan,Henriksson,Strandvägen 36,Jönköping,52226,Sverige,SE,19450526-5185,+46,060-27 10 97,1945-05-26,True
Robert,Miller,Caldwell River 880,Larsenville,73977,Danmark,DK,19650921-0516,+45,464.982.9929,1965-09-21,True
Øyvind,Jensen,Moetunet 2F,Brittvåg,8537,Norge,NO,19870602-0120,+47,+4785552616,1987-06-02,True
Anna,Garcia,Roman Extensions 20206,South Brent,08190,Danmark,DK,19910919-1520,+45,(761)325-8564,1991-09-19,True
Leena,Andersson,Chydeniuksenkatu 75,Kuhmo,94023,Finland,FI,19941127-6268,+358,0099881901,1994-11-27,True
Göte,Persson,Parkvägen 9,Trelleborg,52846,Sverige,SE,19670523-4559,+46,08-615 63 16,1967-05-23,True
Paul,Jackson,Nicholas Gateway 8730,Kingstad,68212,Danmark,DK,19650417-5979,+45,275.868.2589x343,1965-04-17,True
Amy,Briggs,Kelly Trafficway 362,West Jorgeview,69791,Danmark,DK,19551216-3034,+45,293.443.8234x0374,1955-12-16,True
Lene,Henriksen,Paulsenhavna 8C,Adriansand,2968,Norge,NO,19650831-2366,+47,+4708669568,1965-08-31,True
Marja,Juvonen,Neonkatu 081,Pedersören kunta,91927,Finland,FI,19670606-489X,+358,(+358) 307899691,1967-06-06,True
Lisa,Mason,Lisa Road 3791,West Lisa,63435,Danmark,DK,19911203-0511,+45,441-582-9305,1991-12-03,True
Elisabeth,Vik,Rønninggata 027,Olavfjell,5357,Norge,NO,19791102-9166,+47,47056718,1979-11-02,True
Ulf,Karlsson,Industristigen 7,Landskrona,43980,Sverige,SE,19771227-8435,+46,032-15 00 66,1977-12-27,True
Ari,Berg,Vesalanpolku 13,Lappeenranta,63568,Finland,FI,19670608-777N,+358,+358704038351,1967-06-08,True
Henrik,Knudsen,Aunelyngen 3,Marieid,6541,Norge,NO,19830216-8225,+47,90799351,1983-02-16,True
Anita,Fredriksen,Berglyngen 7,Berg,5272,Norge,NO,19410107-8041,+47,+47 49 72 17 01,1941-01-07,True
Tord,Nilsson,Åkergatan 58,Uddevalla,55470,Sverige,SE,19650825-8856,+46,08-11 73 80,1965-08-25,True
Patrik,Petersson,Parktorget 626,Skellefteå,35722,Sverige,SE,19750202-0465,+46,0054-04 93 62,1975-02-02,True
Bailey,Lester,Hayes Island 405,Petersonville,88806,Danmark,DK,19700116-8288,+45,499-758-4275x54154,1970-01-16,True
Synnøve,Eide,Haugehaugen 25A,Christianøy,9443,Norge,NO,19780619-2319,+47,98675299,1978-06-19,True
Olle,Svensson,Ringstigen 008,Falun,78652,Sverige,SE,19500301-7537,+46,+46 (0)8 088 074 13,1950-03-01,True
Erik,Solberg,Olsengata 64,Sanderfjell,8946,Norge,NO,19581229-9375,+47,27016820,1958-12-29,True
Eva,Blom,Kyrkvägen 345,Uppsala,12725,Sverige,SE,19941216-3009,+46,08-035 739 94,1994-12-16,True
Emil,Johannessen,Christensengropa 9,Haugland,0304,Norge,NO,19830916-0971,+47,48855187,1983-09-16,True
Anna,Lie,Isaksenbråten 2,Sigridstrand,0609,Norge,NO,19570920-1290,+47,02810677,1957-09-20,True
Anna,Persson,Nystigen 570,Karlstad,46917,Sverige,SE,19460509-9063,+46,08-215 38 48,1946-05-09,True
Sofia,Laitinen,Walentin Chorellin katu 002,Alajärvi,15266,Finland,FI,19441105-065E,+358,+358285568897,1944-11-05,True
Bo,Johansson,Strandtorget 05,Jönköping,65849,Sverige,SE,19821105-1510,+46,+46 (0)221 278 37,1982-11-05,True
Ola,Svensson,Fabriksvägen 0,Malmö,60800,Sverige,SE,19670706-9487,+46,+46 (0)8 009 273 07,1967-07-06,True
Erik,Wikström,Granvägen 39,Falun,73924,Sverige,SE,19420420-7569,+46,0842-12 12 91,1942-04-20,True
Olof,Skoglund,Stationsstigen 473,Karlskrona,44434,Sverige,SE,19560528-5735,+46,+46 (0)216 745 03,1956-05-28,True
Anders,Dahl,Edvardsenstykket 9,Trondvik,5110,Norge,NO,19560917-8474,+47,49361796,1956-09-17,True
Kristoffer,Christensen,Hansenstranda 2E,Greteborg,5286,Norge,NO,19841216-4019,+47,913 34 683,1984-12-16,True
Birgitta,Nilsson,Backstigen 655,Lund,95962,Sverige,SE,19880426-7409,+46,0755-47 77 89,1988-04-26,True
Bror,Franzén,Järnvägsvägen 739,Piteå,41460,Sverige,SE,19740321-9648,+46,08-23 46 23,1974-03-21,True
Therese,Johansson,Fabriksgatan 7,Mölndal,95765,Sverige,SE,19721213-3954,+46,+46 (0)832 498 83,1972-12-13,True
Olof,Svensson,Ekgränd 6,Helsingborg,27844,Sverige,SE,19911207-8162,+46,080-497 65 82,1991-12-07,True
Barbro,Persson,Kyrkgatan 915,Halmstad,36806,Sverige,SE,19870702-3543,+46,08-76 00 14,1987-07-02,True
Astrid,Johansson,Skogstorget 7,Kalmar,51720,Sverige,SE,19561019-8672,+46,0330-738 71,1956-10-19,True
Sara,Näslund,Järnvägsstigen 2,Piteå,88574,Sverige,SE,19710227-9080,+46,+46 (0)31 01 30 00,1971-02-27,True
Ellinor,Larsson,Kvarnvägen 263,Lidköping,79050,Sverige,SE,19410605-1300,+46,+46 (0)44 53 27 96,1941-06-05,True
Fredrik,Andersson,Bäcktorget 1,Eskilstuna,98173,Sverige,SE,19940107-7796,+46,+46 (0)8 012 962 28,1994-01-07,True
Inger,Carlsson,Nygatan 07,Falun,30454,Sverige,SE,19600820-1196,+46,08-583 797 02,1960-08-20,True
Maria,Harju,Urputie 7,Multia,23035,Finland,FI,19750327-471B,+358,(+358) 579431437,1975-03-27,True
Bo,Johansson,Industrivägen 3,Trollhättan,79370,Sverige,SE,19440226-3705,+46,0293-27 85 04,1944-02-26,True
Julie,Turner,Weaver Drive 16867,Serranoport,47520,Danmark,DK,19570622-7755,+45,447-867-0146x47620,1957-06-22,True
Martin,Eriksson,Ekvägen 93,Västerås,78741,Sverige,SE,19940412-7301,+46,08-23 12 12,1994-04-12,True
Lena,Jönsson,Åkerstigen 665,Lidingö,80416,Danmark,SE,19690429-0752,+46,+46 (0)8 903 346 32,1969-04-29,True
Gun,Olsson,Fabriksgatan 8,Göteborg,72385,Sverige,SE,19861030-1470,+46,038-104 32 52,1986-10-30,True
Elisabet,Nilsson,Industritorget 1,Mölndal,76601,Sverige,SE,19481025-9794,+46,08-49 25 81,1948-10-25,True
Astrid,Karlsen,Bøeflata 3,Nguyen,2306,Norge,NO,19870611-5495,+47,934 21 008,1987-06-11,True
Jørgen,Eide,Olsenvika 2,Livsjøen,2286,Norge,NO,19791013-1807,+47,+47 55 13 56 89,1979-10-13,True
Jens,Solheim,Gundersenbråten 7E,Rønning,9968,Norge,NO,19440618-2393,+47,98527093,1944-06-18,True
Arne,Nygren,Kvarngränd 7,Östersund,68657,Sverige,SE,19430813-7696,+46,+46 (0)152 603 44,1943-08-13,True
Roland,Andersson,Genstigen 3,Norrköping,63475,Sverige,SE,19490412-1293,+46,053-029 25 30,1949-04-12,True
Inger,Eriksson,Bäckgränd 61,Göteborg,46689,Sverige,SE,19761003-8689,+46,08-039 92 33,1976-10-03,True
Sven,Johansson,Nytorget 495,Alingsås,48871,Sverige,SE,19791214-4502,+46,+46 (0)037 638 39,1979-12-14,True
Robert,Sandvik,Pettersenbakken 1,Næss,4904,Nofge,NO,19961010-0810,+47,40 12 82 99,1996-10-10,True
Maria,Nilsson,Aspgatan 87,Borås,60366,Sverige,SE,19600822-7030,+46,+46 (0)259 571 63,1960-08-22,True
Emma,Bakke,Pedersenekra 42A,Mariabø,6802,Norge,NO,19810929-9619,+47,461 74 001,1981-09-29,True
Mikael,Karlsson,Idrottsgatan 72,Stockholm,21963,Sverige,SE,19941027-1813,+46,0461-492 67,1994-10-27,True
Arne,Kristoffersen,Bergeløkka 2,Evensen,7966,Norge,NO,19600708-5813,+47,+4732790480,1960-07-08,True
Paula,Simola,Runonlaulajanbulevardi 8,Orivesi,29338,Finland,FI,19750910-025K,+358,040 740 1671,1975-09-10,True
Maria,Friberg,Storstigen 03,Ängelholm,47084,Sverige,SE,19630501-6000,+46,+46 (0)45 62 32 99,1963-05-01,True
Wenche,Mikkelsen,Karlsengjerdet 9,Helenehamn,6063,Norge,NO,19661013-9383,+47,+47 45 04 47 12,1966-10-13,True
Melissa,Lara,Dawn Unions 8665,Andrewport,58639,Danmark,DK,19821103-0300,+45,584.470.6928x122,1982-11-03,False
Kristin,Haug,Nygårdfaret 9C,Christiandal,6731,Norge,NO,19810610-4353,+47,18765702,1981-06-10,True
Inge,Dahlberg,Nyvägen 990,Linköping,90470,Sverige,SE,19840424-0907,+46,031-44 98 74,1984-04-24,True
Ann,Isaksen,Christensentjernet 73,Aas,0203,Norge,NO,19810820-7936,+47,92680973,1981-08-20,True
Leif,Nilsson,Parkgränd 3,Karlskoga,75082,Sverige,SE,19750122-9690,+46,078-96 34 14,1975-01-22,False
Gunhild,Boström,Kyrkvägen 484,Örnsköldsvik,35243,Sverige,SE,19401208-4417,+46,0638-25 33 48,1940-12-08,True
Eli,Jakobsen,Lienskrenten 86,Marieid,4077,Norge,NO,19410803-8013,+47,+4763523168,1941-08-03,True
Johanna,Eriksson,Skolgränd 17,Södertälje,17376,Sverige,SE,19920213-8913,+46,0277-98 79 42,1992-02-13,True
